Ticker;Pre�o Cota (R$);Tipo;DY (%);Dividendo/Cota (R$);P/VP;Patrim. L��q (R$);N� de Cotas;Data
GARE11;908;Híbrido;113;99;101;1325950000;147458223;10/09/2025
GCOI11;989;Híbrido;0;0;102;10910800;113000;10/09/2025
GCRI11;6267;Títulos e Val. Mob.;164;104;69;131351000;1453859;10/09/2025
GGRC11;957;Logística;123;10;86;1705210000;152455666;10/09/2025
GLOG11;6363;Logística;84;537;59;81479200;750000;10/09/2025
GTWR11;7615;Lajes Corporativas;129;995;76;1197360000;12000000;10/09/2025
GZIT11;4354;Híbrido;211;936;48;1989910000;21841231;10/09/2025
HAAA11;4861;Lajes Corporativas;33;162;73;229711000;3455000;10/09/2025
HBCR11;1300;Lajes Corporativas;121;1611;105;198998000;1600000;10/09/2025
HCRI11;25852;Hospital;123;3202;79;65200700;200000;10/09/2025
HGBL11;85;Logística;141;86;89;240474000;25135505;10/09/2025
HGBS11;1883;Shoppings;101;19;87;2790290000;129133010;10/09/2025
HGIC11;6758;Títulos e Val. Mob.;153;1049;61;51321000;462706;10/09/2025
HGLG11;1515;Logística;86;132;93;5498580000;33787575;10/09/2025
HGPO11;13623;Lajes Corporativas;178;52;97;245956000;1753057;10/09/2025
HGRE11;11069;Lajes Corporativas;103;1155;71;1840540000;11817767;10/09/2025
HGRU11;12235;Híbrido;100;1205;96;2968590000;23238024;10/09/2025
HILG11;18681;Outros;90;1724;91;107619000;526254;10/09/2025
HLOG11;824;Logística;79;66;75;469334000;42500000;10/09/2025
HOFC11;286;Lajes Corporativas;0;0;44;247631000;3779001;10/09/2025
HOSI11;8449;Híbrido;89;759;93;52247900;573450;10/09/2025
HPDP11;8966;Shoppings;73;66;97;304675000;3288000;10/09/2025
HSLG11;798;Logística;103;826;72;1396700000;12660067;10/09/2025
HSML11;7999;Shoppings;106;856;76;2182640000;20808572;10/09/2025
HSRE11;9799;Híbrido;112;1106;109;798273000;8898724;10/09/2025
HTMX11;13912;Hotel;152;1746;96;418606000;2888094;10/09/2025
HUCG11;10492;Hospital;5;53;101;116190000;1122000;10/09/2025
HUSC11;970;Outros;108;106;65;126475000;850821;10/09/2025
HUSI11;12410;Hospital;82;10204;10;145118000;116362;10/09/2025
HYPI11;1815;Híbrido;5;96;145;163242000;1306304;10/09/2025
IBBP11;83;Outros;68;57;93;395690000;30528842;10/09/2025
INLG11;7297;Logística;125;924;73;452001000;4512103;10/09/2025
INRD11;690;Residencial;105;731;58;134149000;1130706;10/09/2025
IRIM11;6613;Híbrido;151;1009;76;166020000;1920000;10/09/2025
JASC11;985;Híbrido;76;759;87;394977000;3489342;10/09/2025
JFLL11;6727;Residencial;96;653;63;160366000;1500598;10/09/2025
JPPC11;11412;Híbrido;63;7506;92;6817700;55000;10/09/2025
JSRE11;6279;Híbrido;91;576;62;2117040000;20767328;10/09/2025
KEVE11;8500;Residencial;238;11577;148;84657800;147701;10/09/2025
KNHF11;8994;Híbrido;123;1115;9;1962690000;19663235;10/09/2025
KNIP11;8675;Títulos e Val. Mob.;125;1095;94;7381770000;80078186;10/09/2025
KNRE11;26;Residencial;17;0;39;12410500;18547161;10/09/2025
KNRI11;13713;Híbrido;87;120;84;4598150000;28204047;10/09/2025
KORE11;7001;Títulos e Val. Mob.;211;150;66;1019570000;9625000;10/09/2025
LAFI11;11635;Híbrido;114;1085;102;87696900;771287;10/09/2025
LASC11;930;Shoppings;189;126;69;397036000;2940298;10/09/2025
LFTT11;635;Outros;0;0;46;45148200;3265000;10/09/2025
LIFE11;857;Outros;175;137;86;376945000;37901307;10/09/2025
LRDI11;8054;Híbrido;0;0;97;30805700;370244;10/09/2025
LVBI11;10223;Logística;93;963;87;1896240000;16118565;10/09/2025
MALL11;10003;Híbrido;89;871;83;1694870000;13982093;10/09/2025
MAXR11;645;Híbrido;275;1267;63;115756000;1125655;10/09/2025
MCLO11;106;Híbrido;60;64;77;1718590000;124642860;10/09/2025
MCRE11;852;Títulos e Val. Mob.;144;126;83;1140900000;111598921;10/09/2025
MFII11;800;Híbrido;167;1244;77;619001000;5962395;10/09/2025
MGHT11;165;Híbrido;0;0;61;35816200;1313784;10/09/2025
MXRF11;952;Híbrido;118;114;10;4148020000;437325297;10/09/2025
NEWL11;10289;Híbrido;110;114;8;360473000;2817412;10/09/2025
NEWU11;949;Híbrido;11;102;122;57714700;742000;10/09/2025
NSLU11;17541;Hospital;106;1878;83;271727000;1293286;10/09/2025
NVHO11;1182;Hospital;87;103;71;689116000;41494533;10/09/2025
OBAL11;10950;Residencial;283;3805;95;162555000;141279;10/09/2025
OULG11;3706;Logística;27;103;6;153009000;2481284;10/09/2025
PATC11;3879;Lajes Corporativas;41;159;94;143317000;3477434;10/09/2025
PATL11;5685;Logística;121;697;59;482094000;4991535;10/09/2025
PLAG11;4949;Outros;110;536;8;324466000;5221839;10/09/2025
PMLL11;9729;Híbrido;100;957;8;1694870000;13982093;10/09/2025
PNPR11;490;Híbrido;0;0;134;32797200;897816;10/09/2025
PNRC11;600;Híbrido;76;68;143;17198600;410100;10/09/2025
PQAG11;5475;Logística;101;558;99;775279000;13991890;10/09/2025
PQDP11;243398;Shoppings;96;23531;73;336539000;100561;10/09/2025
PRSV11;3299;Lajes Corporativas;0;0;23;32323400;226766;10/09/2025
PVBI11;745;Lajes Corporativas;85;64;69;2926880000;27130067;10/09/2025
