Ticker;Pre�o Cota (R$);Tipo;DY (%);Dividendo/Cota (R$);P/VP;Patrim. L��q (R$);N� de Cotas;Data
RBRP11;;Outros;21,8;54,5;65;1398126000;12180187;10/08/2025
RBRS11;;Híbrido;5,8;141,5;5;249454500;1735299;10/08/2025
RBRX11;;Títulos e Val. Mob.;25,6;100,5;79;431988000;29469659;10/08/2025
RBTS11;;Outros;15;678,5;92;32220750;57525;10/08/2025
RBVA11;;Outros;23,6;96,5;79;2489520000;156144050;10/08/2025
RCRB11;;Lajes Corporativas;16,2;1018,5;62;1111074000;3691695;10/08/2025
RECR11;;Títulos e Val. Mob.;29,2;1204,5;91;3529110000;26442650;10/08/2025
RECT11;;Híbrido;27,6;432,5;34;1165005000;8544493;10/08/2025
RELG11;;Híbrido;20,4;682,5;79;168283500;1335562;10/08/2025
RMAI11;;Híbrido;14,6;602,5;77;390882000;2444800;10/08/2025
RNGO11;;Lajes Corporativas;17,8;448,5;6;336372000;2677000;10/08/2025
ROOF11;;Outros;0;-0,5;94;47936550;78495;10/08/2025
RSPD11;;Residencial;23,6;11868,5;96;234127500;150011;10/08/2025
RZAT11;;Híbrido;27,8;1245,5;87;643714500;4236042;10/08/2025
RZEO11;;Outros;47,4;5581,5;95;959521500;3153924;10/08/2025
RZTR11;;Títulos e Val. Mob.;27,2;1224,5;92;2731800000;18852720;10/08/2025
RZZR11;;Outros;19,8;1351,5;79;1371483000;5191038;10/08/2025
SARE11;;Híbrido;11,2;24,5;58;1073778000;92344290;10/08/2025
SCPF11;;Híbrido;0;-0,5;28;66903150;4201000;10/08/2025
SEQR11;;Outros;28,6;697,5;52;232152000;1666695;10/08/2025
SHOP11;;Híbrido;0;-0,5;86;110487000;2253247;10/08/2025
SHPH11;;Shoppings;16,4;8176,5;97;926149500;609950;10/08/2025
SNAG11;;Híbrido;26,6;126,5;93;930883500;60741353;10/08/2025
SNEL11;;Híbrido;28;95,5;103;466671000;38335202;10/08/2025
SNFZ11;;Híbrido;16,2;7,5;99;91898700;6201000;10/08/2025
SNLG11;;Híbrido;1,4;265,5;429;1194597;2530966;10/08/2025
SNME11;;Híbrido;26;127,5;98;107900700;7419243;10/08/2025
SPTW11;;Lajes Corporativas;29,4;503,5;58;157176000;1799000;10/08/2025
TELM11;;Híbrido;16,8;83,5;10;31761600;2148362;10/08/2025
TEPP11;;Lajes Corporativas;26,4;1050,5;81;616729500;4222967;10/08/2025
TGAR11;;Híbrido;29,6;1265,5;76;3929325000;23568968;10/08/2025
TJKB11;;Lajes Corporativas;28;3190,5;96;455677500;1165647;10/08/2025
TOPP11;;Outros;23,8;825,5;65;712527000;4529240;10/08/2025
TORD11;;Híbrido;7,4;11,5;9;312988500;5842892;10/08/2025
TRBL11;;Logística;26,4;76,5;67;1007938500;7740092;10/08/2025
TRNT11;;Lajes Corporativas;0;-0,5;55;1044001500;3936562;10/08/2025
TRXB11;;Híbrido;30,8;2070,5;136;586611000;3747020;10/08/2025
TRXF11;;Híbrido;27;1330,5;93;3121845000;20036563;10/08/2025
TSER11;;Lajes Corporativas;25,6;1167,5;99;203464500;1385760;10/08/2025
TSNC11;;Híbrido;0;-0,5;103;130770000;1087780;10/08/2025
TVRI11;;Lajes Corporativas;26,2;1212,5;88;2481855000;15920690;10/08/2025
VCRR11;;Logística;20,4;64,5;5;380844000;2001000;10/08/2025
VGRI11;;Títulos e Val. Mob.;38,2;163,5;8;554979000;35022736;10/08/2025
VILG11;;Logística;19,4;786,5;72;2529585000;14998396;10/08/2025
VINO11;;Lajes Corporativas;25,8;63,5;48;1268143500;82827295;10/08/2025
VISC11;;Shoppings;18,6;964,5;83;5355840000;28829640;10/08/2025
VIUR11;;Outros;29,6;7,5;61;353302500;26947220;10/08/2025
VRTM11;;Híbrido;30,8;106,5;74;652953000;46972245;10/08/2025
VSHO11;;Shoppings;22,2;81,5;63;363616500;2099800;10/08/2025
VTLT11;;Logística;26,8;1153,5;82;329482500;2116000;10/08/2025
VVMR11;;Híbrido;5,6;235,5;79;452338500;2824180;10/08/2025
VVRI11;;Híbrido;20;886,5;93;112922100;803683;10/08/2025
VXXV11;;Outros;0;-0,5;114;254557500;277446;10/08/2025
WHGR11;;Híbrido;26;113,5;88;452955000;30913379;10/08/2025
WPLZ11;;Shoppings;19,2;467,5;75;116836800;1171000;10/08/2025
WTSP11;;Híbrido;39,8;1292,5;66;156592500;1239572;10/08/2025
XPCM11;;Lajes Corporativas;0;-0,5;31;95107200;2415570;10/08/2025
XPIN11;;Outros;25,2;875,5;66;1116435000;7151422;10/08/2025
XPLG11;;Logística;19,6;955,5;92;4998990000;31176931;10/08/2025
XPML11;;Shoppings;22;1092,5;84;9987330000;56721787;10/08/2025
ZAGH11;;Híbrido;14,8;70,5;106;126738450;8892662;10/08/2025
ZAVI11;;Híbrido;31,6;1362,5;63;238768500;1174322;10/08/2025
